GBE subset- total dv/dt, CSL3 dv/dt, GBE- total dv/dt, CSL3 dv/dt, non-GBE- total dv/dt, CSL3 dv/dt
0.0141888887449042,0.0108659125407051,0.0380150560156949,0.0329730219699087,0.0310075824950786,0.024640623295916
0.014187181752213,0.0108649028728109,0.0380128851911508,0.0329696989761601,0.0310049291236538,0.0246382558236178
0.0141854741854992,0.0108638927028188,0.0380107139833257,0.032966382894088,0.0310023003108313,0.0246358839936889
0.0141837660563553,0.0108628820417529,0.038008542341359,0.0329630737037547,0.0309996744696548,0.0246335077066036
0.0141820573759155,0.0108618709003281,0.0380063702149727,0.0329597713850376,0.0309970515809113,0.0246311269484139
0.0141803481554135,0.0108608592893589,0.0380041975541729,0.0329564759180272,0.0309944316242081,0.0246287417043547
0.0141786384059728,0.010859847219546,0.0380020243096624,0.0329531872820894,0.0309918145791102,0.0246263519604497
0.0141769281385216,0.0108588347014518,0.0379998504320014,0.0329499054567606,0.0309892004240879,0.0246239577017988
0.0141752173639667,0.0108578217456525,0.0379976758721341,0.0329466304214776,0.0309865891367309,0.0246215589134877
0.0141735060930408,0.0108568083626182,0.0379955005819426,0.0329433621549811,0.0309839806947849,0.0246191555806305
0.0141717943364306,0.0108557945627368,0.0379933245130815,0.0329401006365373,0.0309813750748162,0.0246167476881709
0.0141700821046946,0.0108547803563752,0.0379911476181718,0.0329368458448727,0.0309787722526096,0.0246143352204342
0.014168369408317,0.0108537657537546,0.0379889698499198,0.0329335977586567,0.0309761722037791,0.0246119181623783
0.014166656257629,0.0108527507651246,0.0379867911623677,0.0329303563568857,0.0309735749031574,0.0246094964983143
0.0141649426628767,0.0108517354005286,0.0379846115091738,0.0329271216182718,0.0309709803251792,0.0246070702124612
0.0141632286342706,0.0108507196701346,0.0379824308451475,0.0329238935208878,0.0309683884429575,0.0246046392888672
0.0141615141818221,0.0108497035838333,0.0379802491253969,0.0329206720436588,0.03096579923006,0.0246022037117299
0.0141597993155571,0.0108486871516362,0.037978066306124,0.0329174571651123,0.0309632126587331,0.024599763464785
0.014158084045274,0.0108476703833844,0.0379758823436731,0.0329142488636904,0.030960628701024,0.024597318531967
0.0141563683808243,0.0108466532888407,0.0379736971951132,0.0329110471178211,0.0309580473283262,0.0245948688968269
0.0141546523318326,0.0108456358778,0.037971545980426,0.0329078870675659,0.0309554685112658,0.0245924145429228
0.0141529359078518,0.0108446181598438,0.0379694289001549,0.0329047689638742,0.0309528922204549,0.0245899554538695
0.014151219118439,0.0108436001446606,0.037967310111199,0.0329016570121041,0.0309503184254112,0.0245874916126709
0.0141495019729874,0.0108425818417857,0.0379651895861599,0.032898551201157,0.0309477470954107,0.0245850230028424
0.014147784480766,0.0108415632606444,0.0379631201078752,0.0328954515181152,0.0309451781993033,0.0245825496076364
0.0141460666509943,0.0108405444107085,0.037961066747755,0.0328923577034459,0.030942611705143,0.0245800714098081
0.0141443484927848,0.0108395253012894,0.0379590111834176,0.0328892696658869,0.0309400475806711,0.0245775883924821
0.0141426300152041,0.0108385059417415,0.0379569533992736,0.0328861874016297,0.0309374857932028,0.0245751005387405
0.0141409112271411,0.0108374863412237,0.0379548933801601,0.0328831109066527,0.0309349263093424,0.0245726078310966
0.0141391921374847,0.0108364665089482,0.0379528311108004,0.0328800401762521,0.0309323690955097,0.0245701102526681
0.0141374727549994,0.0108354464540561,0.0379507665754062,0.0328769752045588,0.0309298141171297,0.0245676077857482
0.0141357530883397,0.0108344261855535,0.0379486997598804,0.0328739159865137,0.030927261340068,0.0245651004133407
0.0141340331460711,0.0108334057124182,0.0379466306484915,0.0328708625151535,0.0309247107286836,0.0245625881177673
0.0141323129367592,0.0108323850436562,0.0379445592273697,0.0328678147844386,0.0309221622475633,0.024560070881563
0.0141305924687281,0.0108313641880606,0.0379424854813664,0.032864772786553,0.0309196158607676,0.0245575486873477
0.0141288717504153,0.010830343154506,0.0379404195845439,0.0328617467016841,0.0309170715316611,0.0245550215172941
0.0141271507899603,0.0108293219517286,0.0379384113021928,0.0328587863074148,0.0309145292236934,0.0245524893540292
0.0141254295955662,0.010828300588404,0.0379364003749316,0.0328558313849641,0.0309119888990494,0.0245499521795907
0.014123708175326,0.0108272790732222,0.0379343867978434,0.0328528819325413,0.0309094505203262,0.0245474099765559
0.0141219865371944,0.010826257414724,0.0379323705658834,0.0328499379472618,0.0309069140494813,0.0245448627269198
0.0141202646890619,0.0108252356214749,0.0379303516747171,0.0328469994262406,0.0309043794478612,0.0245423104132314
0.0141185426388368,0.0108242137019126,0.0379283301187741,0.0328440663648735,0.0309018466764428,0.0245397530173008
0.0141168203941611,0.0108231916644463,0.0379263058938051,0.032841138759224,0.0308993156962458,0.024537190521535
0.0141150979627689,0.0108221695174748,0.0379242789951775,0.0328382166040484,0.0308967864673235,0.0245346229081633
0.0141133753521849,0.0108211472692581,0.0379222494186422,0.0328352998939039,0.0308942673827204,0.0245320585919302
0.0141116525699658,0.0108201249280775,0.0379202171602628,0.0328323886224524,0.0308917807634685,0.0245295199401809
0.0141099296234906,0.0108191025021078,0.0379181822152219,0.0328294827828159,0.0308892951766921,0.0245269756282767
0.0141082065200777,0.010818079999467,0.0379161445808478,0.0328265823683154,0.0308868105963853,0.0245244256506183
0.0141064832670779,0.0108170574282589,0.0379141042525362,0.032823687370481,0.0308843269958743,0.0245218700013794
0.0141047598715502,0.0108160347964876,0.0379120612278854,0.0328207977817243,0.0308818443474337,0.0245193086739803
0.0141030363407282,0.0108150121121753,0.0379100155029732,0.0328179135926092,0.0308793626228834,0.0245167416619907
0.0141013126814933,0.0108139893831627,0.0379079670754976,0.0328150347941687,0.0308768823024224,0.0245141694675937
0.0140995889009261,0.0108129666173546,0.0379059159423889,0.0328121613763273,0.0308744417922497,0.0245116305212605
0.0140978650058159,0.0108119438225636,0.0379038621017145,0.0328092933287962,0.0308720013346289,0.0245090852293757
0.0140961410029838,0.0108109210065344,0.0379018055511153,0.0328064306406759,0.0308695609180205,0.0245065335999541
0.0140944168991588,0.01080989817698,0.0378997462883746,0.0328035733003276,0.0308671558676394,0.0245040109780916
0.0140926927009488,0.010808875341521,0.0378976843123411,0.0328007212960841,0.0308647544252523,0.0245014857135715
0.0140909684149513,0.0108078525077886,0.037895619621338,0.0327978746150563,0.0308623524563103,0.0244989537006433
0.0140892440476534,0.0108068296832684,0.0378935522142143,0.0327950332446392,0.0308599499579287,0.0244964149554718
0.0140875196054431,0.0108058068754957,0.0378914820898189,0.0327921971706928,0.0308575469262706,0.0244938694936465
0.0140857950947044,0.0108047840919205,0.0378894092479101,0.0327893663795464,0.030855143428667,0.0244913174026991
0.0140840705216867,0.0108037613398722,0.037887333687479,0.0327865408563781,0.0308527782489847,0.0244887974869386
0.0140823458925681,0.0108027386267082,0.0378852554085967,0.0327837205857975,0.0308504122396727,0.0244862706684685
0.0140806212135303,0.0108017159597367,0.037883174410581,0.0327809055516894,0.0308480453988267,0.0244837369652444
0.0140788964905383,0.010800693346102,0.0378810906942419,0.0327780957383084,0.0308456777216861,0.0244811963938503
0.0140771717295998,0.0107996707930731,0.0378790042594375,0.032775291128246,0.0308433092035472,0.024478648970323
0.0140754469366406,0.0107986483076949,0.0378769151066081,0.0327724917037528,0.030840939837347,0.0244760947097049
0.0140737221174696,0.0107976258970872,0.0378748232363364,0.0327696974467528,0.030838569615284,0.0244735336263417
0.0140719972778705,0.0107966035682487,0.0378727286496314,0.0327669083385729,0.0308361985282772,0.024470965733606
0.014070272423492,0.0107955813281393,0.0378706313467916,0.0327641243592893,0.0308338265656403,0.0244683910443229
0.0140685475599938,0.0107945591836796,0.0378685656404372,0.0327613798002915,0.0305628362802679,0.024197192134487
0.014066822692854,0.0107935371417227,0.0378665330196952,0.0327586761700758,0.030573488132589,0.0242052529125942
0.0140650978276682,0.010792515209129,0.0378644971365674,0.032755977139459,0.0305838093133559,0.0242130393151641
0.0140633729697051,0.0107914933925635,0.0378624580092293,0.0327532827006678,0.0305938673061092,0.024220616753027
0.0140616481243718,0.0107904716988223,0.0378604156533271,0.0327505928428593,0.0306036155567284,0.0242279367989866
0.0140599232969656,0.010789450134542,0.0378583700867665,0.032747907555958,0.0306130600355061,0.0242350035294123
0.014058198492588,0.0107884287062952,0.0378563213243126,0.0327452268273589,0.0306222097580218,0.024241824141761
0.0140564737164759,0.0107874074206968,0.037854269381782,0.0327425506438885,0.0306310734227395,0.0242484055942214
0.0140547489735674,0.0107863862841633,0.0378522142738262,0.0327398789911513,0.0306396594239402,0.0242547546143328
0.0140530242689856,0.0107853653032599,0.0378501560150255,0.0327372118536715,0.0306479758635163,0.0242608777078388
0.0140512996074911,0.0107843444842857,0.0378480946191644,0.0327345492151352,0.0306560305631507,0.0242667811662827
0.0140495749941003,0.0107833238336497,0.0378460300992174,0.0327318910569403,0.0306638562656758,0.0242724710753563
0.014047850433478,0.0107823033576473,0.0378439624682017,0.0327292373610106,0.0306714688939564,0.0242779531407606
0.0140461259303883,0.0107812830625029,0.0378418917386085,0.0327265881068115,0.0306788408456669,0.0242832328177158
0.0140444014894889,0.0107802629544622,0.0378398179219204,0.032723943273524,0.030685978947929,0.0242883156300309
0.0140426771153379,0.0107792430396181,0.0378377410292927,0.0327213028386524,0.0306928968267925,0.0242932139516512
0.014040952812465,0.0107782233241061,0.0378356610716395,0.0327186667788482,0.0306996449117491,0.0242979770322052
0.0140392285852897,0.0107772038139693,0.037833578058553,0.0327160350694271,0.0307061769978105,0.0243025576757248
0.0140375044382317,0.0107761845152154,0.0378314920007341,0.0327134076853071,0.0307124990787742,0.0243069607599082
0.0140357803755542,0.0107751654337278,0.0378294029057429,0.0327107845986774,0.030718616949045,0.0243111910071718
0.0140340564016022,0.0107741465754927,0.0378273107834417,0.032708165782779,0.0307245362129436,0.0243152529903483
0.0140323325204292,0.0107731279462868,0.0378252156405949,0.0327055512075844,0.0307302622902057,0.0243191511375187
0.0140306087362028,0.0107721095519402,0.0378231174852459,0.0327029408436346,0.0307358004241252,0.0243228897376326
0.0140288850530226,0.010771091398194,0.0378210163238748,0.0327003346590402,0.030741155687366,0.0243264729448711
0.0140271614748002,0.0107700734907077,0.0378189121624217,0.0326977326217275,0.0307463329886275,0.0243299047836985
0.0140254380054969,0.0107690558351692,0.03781680500704,0.0326951346982725,0.0307513370781294,0.0243331891530829
0.0140237146489177,0.0107680384371456,0.037814694861865,0.0326925408533754,0.0307561725539358,0.0243363298307742
0.0140219914089137,0.0107670213021827,0.0378125817316572,0.0326899510517933,0.0307608438674976,0.0243393304784618
0.0140202682891655,0.0107660044357871,0.0378104656202112,0.032687365256308,0.0307653553281426,0.0243421946437792
0.014018545293343,0.0107649878433698,0.0378083465300278,0.0326847834287776,0.0307697111090306,0.0243449257663571
0.0140168224250203,0.0107639715303378,0.0378062689248537,0.0326822499909554,0.0307739152517286,0.0243475271800477
0.0140150996877288,0.0107629555020381,0.0378042139451935,0.0326797460863304,0.0307779716710144,0.0243500021171172
0.0140133770849928,0.0107619397637748,0.0378021555286523,0.0326772456348436,0.0307818841587846,0.0243523537116843
0.0140116546201057,0.0107609243207314,0.0378000936897678,0.032674748605956,0.0307856563893694,0.0243545850028823
0.014009932296478,0.0107599091781232,0.0377980284420261,0.0326722549666414,0.0307892919228152,0.0243566989381918
0.0140082101173675,0.0107588943411265,0.0377959597967532,0.0326697646826517,0.0307927942090487,0.0243586983761901
0.0140064880859505,0.0107578798147792,0.0377938877647637,0.032667277718744,0.0307961665923671,0.024360586090161
0.0140047662054457,0.0107568656041508,0.0377918123561187,0.0326647940374301,0.0307994123140531,0.0243623647703473
0.0140030444787982,0.0107558517141655,0.0377897335783786,0.032662313600099,0.0308025345168659,0.024364037027091
0.0140013229091664,0.0107548381498468,0.0377876514396576,0.0326598363668182,0.0308055362475983,0.0243656053931431
0.0139996014994352,0.0107538249160406,0.0377855659458675,0.0326573622963338,0.0308084204612982,0.0243670723267044
0.0139978802524574,0.0107528120175253,0.0377834771020957,0.0326548913455298,0.0308111900235275,0.0243684402134008
0.0139961591711462,0.0107517994591788,0.0377813849123783,0.0326524234702532,0.0308138477135458,0.0243697113688341
0.0139944382582051,0.0107507872456623,0.0377792893796141,0.0326499586250861,0.0308163962283032,0.0243708880415028
0.0139927175163237,0.0107497753816972,0.0377771905057784,0.0326474967628769,0.0308188381833503,0.0243719724134479
0.0139909969481771,0.0107487638718879,0.0377750882918093,0.0326450378356071,0.0308211761173567,0.0243729666046022
0.0139892765563552,0.0107477527208601,0.0377729827369535,0.0326425817934677,0.0308234124933477,0.0243738726723279
0.0139875563433023,0.0107467419330654,0.0377708738405431,0.0326401285860953,0.0308255497022429,0.0243746926160568
0.013985836311516,0.0107457315130617,0.0377687615998639,0.0326376781609383,0.030827590064618,0.0243754283768496
0.0139841164633836,0.0107447214652261,0.0377666460114909,0.0326352304645212,0.0308295358330639,0.0243760818409058
0.0139823968012003,0.0107437117939462,0.0377645270713742,0.0326327854427575,0.0308313891947734,0.0243766548400828
0.0139806773272184,0.0107427025035385,0.0377624047736873,0.0326303430393722,0.0308331522735017,0.0243771491552494
0.0139789580437366,0.0107416935983267,0.0377602791125611,0.0326279031979908,0.030834827131514,0.0243775665158381
0.0139772389527444,0.0107406850824603,0.0377581500798811,0.0326254658594536,0.0308364157721286,0.0243779086034266
