GBE EBSD data- Phi, Cumulative Frequency, phi1, Cumulative Frequency, phi2, Cumulative Frequency, GBE distribution data- Phi, Cumulative Frequency, phi1, Cumulative Frequency, phi2, Cumulative Frequency, non-GBE EBSD data- Phi, Cumulative Frequency, phi1, Cumulative Frequency, phi2, Cumulative Frequency, non-GBE distribution data- Phi, Cumulative Frequency, phi1, Cumulative Frequency, phi2, Cumulative Frequency,GBE subset EBSD data- Phi, Cumulative Frequency, phi1, Cumulative Frequency, phi2, Cumulative Frequency, GBE subset distribution data- Phi, Cumulative Frequency, phi1, Cumulative Frequency, phi2, Cumulative Frequency
0.807012,0.925720620842572,5.26308,0.837028824833703,5.27772,0.995565410199557,5.27604,0.998533333333333,5.27856,0.8486,5.271,0.994866666666667,0.810576,0.925414364640884,5.27772,0.802486187845304,5.277,0.994475138121547,5.27688,0.9958,5.27856,0.8486,5.27688,0.994066666666667,0.788732,0.860902255639098,5.27628,0.898496240601504,5.27688,0.996240601503759,5.2668,0.9994,5.27856,0.8556,5.27772,0.996533333333333
0.8079138,0.927937915742794,5.269317,0.838137472283814,5.284003,0.995565410199557,5.282321,0.998533333333333,5.284844,0.8494,5.277275,0.994866666666667,0.8115174,0.926795580110497,5.284003,0.802486187845304,5.283275,0.994475138121547,5.283162,0.9958,5.284844,0.849333333333333,5.283162,0.994066666666667,0.7895118,0.864661654135338,5.282547,0.898496240601504,5.283162,0.996240601503759,5.27307,0.9994,5.284844,0.856133333333333,5.284003,0.996533333333333
0.8088156,0.930155210643016,5.275554,0.839246119733925,5.290286,0.995565410199557,5.288602,0.998533333333333,5.291128,0.849933333333333,5.28355,0.994866666666667,0.8124588,0.92817679558011,5.290286,0.803867403314917,5.28955,0.994475138121547,5.289444,0.9958,5.291128,0.850466666666667,5.289444,0.994066666666667,0.7902916,0.864661654135338,5.288814,0.898496240601504,5.289444,0.996240601503759,5.27934,0.9994,5.291128,0.857066666666667,5.290286,0.996533333333333
0.8097174,0.931263858093126,5.281791,0.840354767184035,5.296569,0.995565410199557,5.294883,0.998533333333333,5.297412,0.851133333333333,5.289825,0.994866666666667,0.8134002,0.930939226519337,5.296569,0.803867403314917,5.295825,0.994475138121547,5.295726,0.9958,5.297412,0.851266666666667,5.295726,0.994066666666667,0.7910714,0.868421052631579,5.295081,0.898496240601504,5.295726,0.996240601503759,5.28561,0.9994,5.297412,0.858,5.296569,0.996533333333333
0.8106192,0.932372505543237,5.288028,0.841463414634146,5.302852,0.995565410199557,5.301164,0.998533333333333,5.303696,0.851933333333333,5.2961,0.994866666666667,0.8143416,0.933701657458563,5.302852,0.803867403314917,5.3021,0.994475138121547,5.302008,0.9958,5.303696,0.851733333333333,5.302008,0.994066666666667,0.7918512,0.868421052631579,5.301348,0.898496240601504,5.302008,0.996240601503759,5.29188,0.9994,5.303696,0.8588,5.302852,0.996533333333333
0.811521,0.934589800443459,5.294265,0.842572062084257,5.309135,0.995565410199557,5.307445,0.998533333333333,5.30998,0.8528,5.302375,0.994866666666667,0.815283,0.933701657458563,5.309135,0.806629834254144,5.308375,0.994475138121547,5.30829,0.9958,5.30998,0.8526,5.30829,0.994066666666667,0.792631,0.87218045112782,5.307615,0.898496240601504,5.30829,0.996240601503759,5.29815,0.9994,5.30998,0.859733333333333,5.309135,0.996533333333333
0.8124228,0.937915742793792,5.300502,0.844789356984479,5.315418,0.995565410199557,5.313726,0.998533333333333,5.316264,0.8538,5.30865,0.994866666666667,0.8162244,0.933701657458563,5.315418,0.80939226519337,5.31465,0.994475138121547,5.314572,0.9958,5.316264,0.853466666666667,5.314572,0.994066666666667,0.7934108,0.87218045112782,5.313882,0.898496240601504,5.314572,0.996240601503759,5.30442,0.9994,5.316264,0.8608,5.315418,0.996533333333333
0.8133246,0.939024390243902,5.306739,0.84589800443459,5.321701,0.995565410199557,5.320007,0.998533333333333,5.322548,0.854533333333333,5.314925,0.994866666666667,0.8171658,0.933701657458563,5.321701,0.81353591160221,5.320925,0.994475138121547,5.320854,0.9958,5.322548,0.854933333333333,5.320854,0.994066666666667,0.7941906,0.879699248120301,5.320149,0.898496240601504,5.320854,0.996240601503759,5.31069,0.9994,5.322548,0.861466666666667,5.321701,0.996533333333333
0.8142264,0.939024390243902,5.312976,0.847006651884701,5.327984,0.995565410199557,5.326288,0.998533333333333,5.328832,0.856,5.3212,0.994866666666667,0.8181072,0.933701657458563,5.327984,0.81353591160221,5.3272,0.994475138121547,5.327136,0.9958,5.328832,0.855533333333333,5.327136,0.994066666666667,0.7949704,0.883458646616541,5.326416,0.898496240601504,5.327136,0.996240601503759,5.31696,0.9994,5.328832,0.862466666666667,5.327984,0.996533333333333
0.8151282,0.941241685144124,5.319213,0.849223946784922,5.334267,0.995565410199557,5.332569,0.998533333333333,5.335116,0.856733333333333,5.327475,0.994866666666667,0.8190486,0.933701657458563,5.334267,0.81353591160221,5.333475,0.994475138121547,5.333418,0.9958,5.335116,0.8572,5.333418,0.994066666666667,0.7957502,0.883458646616541,5.332683,0.898496240601504,5.333418,0.996240601503759,5.32323,0.9994,5.335116,0.863466666666667,5.334267,0.996533333333333
0.81603,0.941241685144124,5.32545,0.849223946784922,5.34055,0.995565410199557,5.33885,0.998533333333333,5.3414,0.857733333333333,5.33375,0.994866666666667,0.81999,0.935082872928177,5.34055,0.81353591160221,5.33975,0.994475138121547,5.3397,0.9958,5.3414,0.858666666666667,5.3397,0.994066666666667,0.79653,0.887218045112782,5.33895,0.898496240601504,5.3397,0.996240601503759,5.3295,0.9994,5.3414,0.864266666666667,5.34055,0.996533333333333
0.8169318,0.942350332594235,5.331687,0.851441241685144,5.346833,0.995565410199557,5.345131,0.998533333333333,5.347684,0.858866666666667,5.340025,0.994866666666667,0.8209314,0.93646408839779,5.346833,0.816298342541437,5.346025,0.994475138121547,5.345982,0.9958,5.347684,0.859666666666667,5.345982,0.994066666666667,0.7973098,0.890977443609023,5.345217,0.898496240601504,5.345982,0.996240601503759,5.33577,0.9994,5.347684,0.865133333333333,5.346833,0.996533333333333
0.8178336,0.942350332594235,5.337924,0.853658536585366,5.353116,0.995565410199557,5.351412,0.998533333333333,5.353968,0.859866666666667,5.3463,0.994866666666667,0.8218728,0.937845303867403,5.353116,0.816298342541437,5.3523,0.994475138121547,5.352264,0.9958,5.353968,0.861133333333333,5.352264,0.994066666666667,0.7980896,0.890977443609023,5.351484,0.898496240601504,5.352264,0.996240601503759,5.34204,0.9994,5.353968,0.8662,5.353116,0.996533333333333
0.8187354,0.944567627494457,5.344161,0.853658536585366,5.359399,0.995565410199557,5.357693,0.998533333333333,5.360252,0.860533333333333,5.352575,0.994866666666667,0.8228142,0.937845303867403,5.359399,0.819060773480663,5.358575,0.994475138121547,5.358546,0.9958,5.360252,0.8624,5.358546,0.994066666666667,0.7988694,0.890977443609023,5.357751,0.898496240601504,5.358546,0.996240601503759,5.34831,0.9994,5.360252,0.866866666666667,5.359399,0.996533333333333
0.8196372,0.944567627494457,5.350398,0.854767184035477,5.365682,0.995565410199557,5.363974,0.998533333333333,5.366536,0.861866666666667,5.35885,0.994866666666667,0.8237556,0.937845303867403,5.365682,0.823204419889503,5.36485,0.994475138121547,5.364828,0.9958,5.366536,0.863266666666667,5.364828,0.994066666666667,0.7996492,0.894736842105263,5.364018,0.898496240601504,5.364828,0.996240601503759,5.35458,0.9994,5.366536,0.8674,5.365682,0.996533333333333
0.820539,0.946784922394678,5.356635,0.856984478935698,5.371965,0.995565410199557,5.370255,0.998533333333333,5.37282,0.863466666666667,5.365125,0.994866666666667,0.824697,0.939226519337017,5.371965,0.824585635359116,5.371125,0.994475138121547,5.37111,0.9958,5.37282,0.864266666666667,5.37111,0.994066666666667,0.800429,0.894736842105263,5.370285,0.898496240601504,5.37111,0.996240601503759,5.36085,0.9994,5.37282,0.868066666666667,5.371965,0.996533333333333
0.8214408,0.950110864745011,5.362872,0.856984478935698,5.378248,0.995565410199557,5.376536,0.998533333333333,5.379104,0.864666666666667,5.3714,0.994866666666667,0.8256384,0.94060773480663,5.378248,0.830110497237569,5.3774,0.994475138121547,5.377392,0.9958,5.379104,0.8652,5.377392,0.994066666666667,0.8012088,0.894736842105263,5.376552,0.902255639097744,5.377392,0.996240601503759,5.36712,0.9994,5.379104,0.868733333333333,5.378248,0.996533333333333
