GBE Subset- phi0 (GPa), Cumulative Freq.,non-GBE- phi0 (GPa), Cumulative Freq., GBE- phi0 (GPa), Cumulative Freq.
0.655552,0.478070175438596,0.658288,0.494212380473075,0.66,0.492363344051447
0.658035,0.478070175438596,0.66079,0.497735279315551,0.6625,0.495176848874598
0.660518,0.483918128654971,0.663292,0.501258178158027,0.665,0.49959807073955
0.663001,0.485380116959064,0.665794,0.503271263210871,0.6675,0.507636655948553
0.665484,0.486842105263158,0.668296,0.506794162053347,0.67,0.512459807073955
0.667967,0.491228070175439,0.670798,0.509310518369401,0.6725,0.516881028938907
0.67045,0.498538011695906,0.6733,0.511323603422245,0.675,0.519694533762058
0.672933,0.5,0.675802,0.514846502264721,0.6775,0.52451768488746
0.675416,0.502923976608187,0.678304,0.517866129843986,0.68,0.529742765273312
0.677899,0.508771929824561,0.680806,0.523402113739305,0.6825,0.537781350482315
0.680382,0.511695906432749,0.683308,0.52591847005536,0.685,0.545418006430868
0.682865,0.516081871345029,0.68581,0.530447911424258,0.6875,0.548633440514469
0.685348,0.517543859649123,0.688312,0.534474081529945,0.69,0.55104501607717
0.687831,0.517543859649123,0.690814,0.536990437845999,0.6925,0.555064308681672
0.690314,0.521929824561403,0.693316,0.540513336688475,0.695,0.559083601286174
0.692797,0.527777777777778,0.695818,0.545546049320584,0.6975,0.562299035369775
0.69528,0.535087719298246,0.69832,0.548565676899849,0.7,0.565916398713826
0.697763,0.54093567251462,0.700822,0.553598389531958,0.7025,0.569533762057878
0.700246,0.543859649122807,0.703324,0.557624559637645,0.705,0.572749196141479
0.702729,0.549707602339181,0.705826,0.558631102164066,0.7075,0.57556270096463
0.705212,0.558479532163743,0.708328,0.56064418721691,0.71,0.578376205787781
0.707695,0.56140350877193,0.71083,0.565173628585808,0.7125,0.581591639871383
0.710178,0.562865497076023,0.713332,0.570206341217916,0.715,0.584405144694534
0.712661,0.564327485380117,0.715834,0.574232511323603,0.7175,0.586816720257235
0.715144,0.565789473684211,0.718336,0.577252138902869,0.72,0.589630225080386
0.717627,0.570175438596491,0.720838,0.580271766482134,0.7225,0.590032154340836
0.72011,0.571637426900585,0.72334,0.583291394061399,0.725,0.593649517684887
0.722593,0.576023391812866,0.725842,0.586814292903875,0.7275,0.598070739549839
0.725076,0.578947368421053,0.728344,0.590840463009562,0.73,0.60048231511254
0.727559,0.58187134502924,0.730846,0.594363361852038,0.7325,0.602491961414791
0.730042,0.584795321637427,0.733348,0.598389531957725,0.735,0.606109324758842
0.732525,0.589181286549708,0.73585,0.60090588827378,0.7375,0.607717041800643
0.735008,0.593567251461988,0.738352,0.603925515853045,0.74,0.608520900321543
0.737491,0.595029239766082,0.740854,0.605435329642677,0.7425,0.609726688102894
0.739974,0.595029239766082,0.743356,0.607448414695521,0.745,0.610932475884244
0.742457,0.597953216374269,0.745858,0.611474584801208,0.7475,0.612942122186495
0.74494,0.600877192982456,0.74836,0.613990941117262,0.75,0.615755627009646
0.747423,0.603801169590643,0.750862,0.616507297433317,0.7525,0.617765273311897
0.749906,0.603801169590643,0.753364,0.619526925012582,0.755,0.620980707395498
0.752389,0.605263157894737,0.755866,0.621540010065425,0.7575,0.62379421221865
0.754872,0.612573099415205,0.758368,0.622546552591847,0.76,0.626607717041801
0.757355,0.616959064327485,0.76087,0.623553095118269,0.7625,0.628215434083601
0.759838,0.621345029239766,0.763372,0.62405636638148,0.765,0.630627009646302
0.762321,0.62719298245614,0.765874,0.627579265223956,0.7675,0.631028938906752
0.764804,0.628654970760234,0.768376,0.631102164066432,0.77,0.633842443729904
0.767287,0.628654970760234,0.770878,0.633618520382486,0.7725,0.635852090032154
0.76977,0.628654970760234,0.77338,0.637141419224962,0.775,0.637057877813505
0.772253,0.628654970760234,0.775882,0.640664318067438,0.7775,0.637861736334405
0.774736,0.630116959064328,0.778384,0.64167086059386,0.78,0.640273311897106
0.777219,0.633040935672515,0.780886,0.645193759436336,0.7825,0.641881028938907
0.779702,0.634502923976608,0.783388,0.649219929542023,0.785,0.645096463022508
0.782185,0.635964912280702,0.78589,0.651736285858078,0.7875,0.646704180064309
0.784668,0.641812865497076,0.788392,0.654755913437343,0.79,0.647909967845659
0.787151,0.64327485380117,0.790894,0.658278812279819,0.7925,0.64911575562701
0.789634,0.64327485380117,0.793396,0.661298439859084,0.795,0.651929260450161
0.792117,0.644736842105263,0.795898,0.665324609964771,0.7975,0.653536977491961
0.7946,0.646198830409357,0.7984,0.668847508807247,0.8,0.653938906752412
0.797083,0.649122807017544,0.800902,0.670860593860091,0.8025,0.655546623794212
0.799566,0.649122807017544,0.803404,0.674383492702567,0.805,0.657556270096463
0.802049,0.652046783625731,0.805906,0.678912934071464,0.8075,0.659565916398714
0.804532,0.653508771929825,0.808408,0.682435832913941,0.81,0.661173633440514
0.807015,0.653508771929825,0.81091,0.684952189229995,0.8125,0.665594855305466
0.809498,0.656432748538012,0.813412,0.68797181680926,0.815,0.668006430868167
0.811981,0.660818713450292,0.815914,0.690991444388525,0.8175,0.671221864951768
0.814464,0.66374269005848,0.818416,0.694514343231001,0.82,0.673231511254019
0.816947,0.665204678362573,0.820918,0.696527428283845,0.8225,0.676848874598071
0.81943,0.669590643274854,0.82342,0.698540513336688,0.825,0.679260450160772
0.821913,0.672514619883041,0.825922,0.700553598389532,0.8275,0.681672025723473
0.824396,0.675438596491228,0.828424,0.701560140915954,0.83,0.682475884244373
0.826879,0.676900584795322,0.830926,0.70508303975843,0.8325,0.685289389067524
0.829362,0.679824561403509,0.833428,0.705586311021641,0.835,0.688102893890675
0.831845,0.685672514619883,0.83593,0.709109209864117,0.8375,0.690112540192926
0.834328,0.692982456140351,0.838432,0.710619023653749,0.84,0.691318327974277
